symbol,em_name,price_hkd,pct_chg,volume_shares,turnover_hkd,turnover_rate_pct,pe_dynamic,pb,pe_ttm,total_mv_hkd,float_mv_hkd,latest_high,latest_low,latest_open,prev_close,ts_code
03076,富邦台湾半导体,21.3,4.51,676600.0,14452516.0,,,,,,,21.54,20.38,20.38,20.38,03076.HK
06099,招商证券,17.45,4.49,5737800.0,98399995.0,0.45,10.2,1.08,10.2,151754392765.0,22240400768.0,17.48,16.61,16.72,16.7,06099.HK
08283,中食民安,0.35,4.48,50000.0,17725.0,0.01,-4.91,2.4,-4.91,120960000.0,120960000.0,0.35,0.35,0.35,0.335,08283.HK
07311,南方两倍做空Coinbase,11.58,4.42,43620.0,500376.0,,,,,,,11.58,11.4,11.41,11.09,07311.HK
00108,国锐生活,2.13,4.41,1158000.0,2444380.0,0.03,-64.53,7.32,-64.53,7074526590.0,7074526590.0,2.17,2.04,2.1,2.04,00108.HK
01321,中国新城市,0.72,4.35,32000.0,22600.0,0.0,-4.34,0.27,-4.34,1327696644.0,1327696644.0,0.72,0.7,0.7,0.69,01321.HK
00219,顺豪物业,0.72,4.35,146000.0,105120.0,0.03,-2.35,0.06,-2.35,417422368.0,417422368.0,0.72,0.72,0.72,0.69,00219.HK
09689,金泰丰国际控股,0.73,4.29,980000.0,674560.0,0.11,-58.53,1.49,-58.53,678900000.0,678900000.0,0.79,0.58,0.64,0.7,09689.HK
02582,国富氢能,13.55,4.23,4551600.0,62421527.0,4.49,-4.05,1.21,-4.05,1716400708.0,1374631186.0,14.38,12.74,13.1,13.0,02582.HK
08423,CHI HO DEV,0.074,4.23,30000.0,2250.0,0.0,-1.43,0.47,-1.43,59200000.0,59200000.0,0.075,0.074,0.075,0.071,08423.HK
02553,首钢朗泽,45.02,4.21,590200.0,26247464.0,0.22,-79.72,24.5,-79.72,18008000000.0,12000027111.0,45.5,42.48,43.2,43.2,02553.HK
01245,NIRAKU,0.199,4.19,164000.0,32408.0,0.01,2.28,0.23,2.28,237974242.0,237974242.0,0.199,0.196,0.196,0.191,01245.HK
03908,中金公司,20.98,4.17,10719590.0,219456629.0,0.56,7.99,0.87,7.99,101275849091.0,39939928699.0,21.08,19.9,20.0,20.14,03908.HK
06066,中信建投证券,12.33,4.14,8812500.0,106124545.0,0.7,7.59,0.98,7.59,95640046847.0,15548422985.0,12.38,11.63,11.81,11.84,06066.HK
03958,东方证券,5.95,4.02,7626060.0,44594763.0,0.74,7.8,0.55,7.8,50555039487.0,6111616447.0,5.97,5.71,5.73,5.72,03958.HK
08193,亚太金融投资,0.13,4.0,220000.0,28480.0,0.08,1.85,0.72,1.85,36375605.0,36375605.0,0.131,0.127,0.127,0.125,08193.HK
01073,大禹金融,0.105,3.96,130000.0,13050.0,0.0,9.05,0.54,9.05,358889010.0,358889010.0,0.105,0.1,0.1,0.101,01073.HK
08279,亚博科技控股,0.79,3.95,9156000.0,7417680.0,0.08,-232.04,3.58,-232.04,9221150366.0,9221150366.0,0.88,0.77,0.86,0.76,08279.HK
08120,国农金融投资,2.38,3.93,55125.0,145050.0,0.03,-15.54,8.41,-15.54,387051689.0,387051689.0,2.89,2.38,2.63,2.29,08120.HK
00348,中国智能健康,0.08,3.9,40000.0,3120.0,0.01,-23.65,-2.94,-23.65,61638467.0,61638467.0,0.081,0.077,0.077,0.077,00348.HK
01286,鹰普精密,8.81,3.89,5966000.0,53245627.0,0.31,23.62,2.97,23.62,17155586709.0,17155586709.0,9.19,8.52,8.52,8.48,01286.HK
01354,经发物业,1.87,3.89,49200.0,89049.0,0.3,1.76,0.35,1.76,124666916.0,31166916.0,1.88,1.73,1.75,1.8,01354.HK
02632,泽景股份,131.0,3.89,27950.0,3659397.0,0.03,-21.59,-8.02,-21.59,16164779846.0,14283850799.0,136.3,127.6,128.9,126.1,02632.HK
09869,海伦司,1.61,3.87,607500.0,935135.0,0.05,54.18,2.1,54.18,2036654064.0,2036654064.0,1.64,1.37,1.49,1.55,09869.HK
01555,MI能源,0.027,3.85,188000.0,5026.0,0.01,-0.16,-0.03,-0.16,91436189.0,91436189.0,0.027,0.026,0.026,0.026,01555.HK
01009,国际娱乐,1.35,3.85,24000.0,32280.0,0.0,-6.77,2.81,-6.77,1848362267.0,1848362267.0,1.35,1.35,1.35,1.3,01009.HK
08156,国药科技股份,0.218,3.81,10000.0,2180.0,0.0,143.16,-3.36,143.16,138145086.0,138145086.0,0.218,0.218,0.218,0.21,08156.HK
06698,星空华文,0.82,3.8,81200.0,62598.0,0.02,-2.5,0.12,-2.5,326746112.0,326746112.0,0.84,0.75,0.77,0.79,06698.HK
