ts_code,trade_date,close,vol,amount
00548.HK,20260624,6.46,768000.0,4925940.0
00551.HK,20260624,13.4,4173527.0,56120070.63
00553.HK,20260624,3.46,29355000.0,109350600.0
00554.HK,20260624,0.203,606000.0,121490.0
00560.HK,20260624,0.68,72000.0,48160.0
00563.HK,20260624,0.234,4459200.0,1053762.0
00565.HK,20260624,2.81,11740000.0,31840000.0
00567.HK,20260624,0.247,5320000.0,1347160.0
00570.HK,20260624,1.38,13470830.0,18909721.4
00572.HK,20260624,0.375,4608.0,1706.72
00575.HK,20260624,0.96,398005.0,388404.65
00576.HK,20260624,6.36,7349762.0,46602288.63
00581.HK,20260624,1.16,1624000.0,1883620.0
00582.HK,20260624,0.037,66000.0,2394.0
00585.HK,20260624,6.65,5914600.0,34970932.5
00588.HK,20260624,0.75,5282000.0,4010220.0
00590.HK,20260624,21.18,1505000.0,31848240.0
00595.HK,20260624,0.87,2446000.0,2003860.0
00598.HK,20260624,4.01,5843465.0,23346611.4
00601.HK,20260624,0.063,623750.0,39813.75
00604.HK,20260624,0.66,6248743.0,4119640.66
00605.HK,20260624,0.81,24000.0,19440.0
00607.HK,20260624,0.57,168100.0,96336.0
00610.HK,20260624,0.87,610000.0,528300.0
00611.HK,20260624,0.48,1130000.0,542400.0
00613.HK,20260624,3.02,868000.0,2617700.0
00616.HK,20260624,0.19,285000.0,54425.0
00617.HK,20260624,0.169,156250.0,26628.0
00618.HK,20260624,0.44,1112000.0,477320.0
00620.HK,20260624,0.31,1000400.0,282640.0
00621.HK,20260624,0.53,6620000.0,3523550.0
00622.HK,20260624,2.16,12385085.0,26761049.1
00626.HK,20260624,1.37,184000.0,249500.0
00627.HK,20260624,0.62,20000.0,12400.0
00628.HK,20260624,0.34,43784000.0,14795290.0
00629.HK,20260624,0.27,158000.0,43785.0
00630.HK,20260624,0.216,30000.0,6480.0
00632.HK,20260624,0.26,21694000.0,5643680.0
00635.HK,20260624,0.48,2000.0,960.0
00639.HK,20260624,2.33,11354000.0,26027492.0
00643.HK,20260624,0.185,410000.0,75950.0
00645.HK,20260624,0.173,122000.0,20836.0
00648.HK,20260624,5.85,8983324.0,51529580.05
00650.HK,20260624,0.305,15042000.0,4598480.0
00653.HK,20260624,0.019,14640000.0,266976.0
00655.HK,20260624,0.415,442000.0,183850.0
00657.HK,20260624,0.033,40000.0,1320.0
00659.HK,20260624,7.89,820654.0,6477103.58
00661.HK,20260624,0.098,6508000.0,638200.0
00669.HK,20260624,121.3,3663181.0,445220435.1
00670.HK,20260624,3.32,25510460.0,84757366.6
00674.HK,20260624,0.063,644000.0,39060.0
00675.HK,20260624,0.36,48000.0,16530.0
00677.HK,20260624,0.345,12000.0,4140.0
00679.HK,20260624,13.57,1597200.0,22810001.0
00681.HK,20260624,0.033,766000.0,24518.0
00682.HK,20260624,0.235,55000.0,12870.0
00683.HK,20260624,18.32,1189000.0,21700018.5
00685.HK,20260624,0.19,100000.0,18000.0
00686.HK,20260624,0.82,101800.0,86844.0
00687.HK,20260624,0.32,54000.0,17280.0
00688.HK,20260624,12.76,16260224.0,208414302.66
00689.HK,20260624,0.192,1218200.0,226940.8
00690.HK,20260624,0.082,920000.0,74900.0
00693.HK,20260624,1.65,69000.0,113220.0
00694.HK,20260624,1.52,4392200.0,6604378.0
00696.HK,20260624,8.39,4622150.0,38326666.5
00697.HK,20260624,1.62,37660000.0,60981520.0
00698.HK,20260624,2.0,59000.0,119884.0
00700.HK,20260624,428.8,39958288.0,17002715524.97
00701.HK,20260624,0.113,94000.0,10478.0
00709.HK,20260624,1.4,643835.0,898893.95
00710.HK,20260624,4.01,1844000.0,7486930.0
00711.HK,20260624,0.395,884000.0,339820.0
00716.HK,20260624,0.45,924000.0,416440.0
00718.HK,20260624,0.034,600000.0,20245.0
00719.HK,20260624,5.77,18646600.0,116367078.0
00720.HK,20260624,0.33,391570.0,125388.15
00721.HK,20260624,0.152,440000.0,68680.0
00725.HK,20260624,1.01,4000.0,4000.0
00727.HK,20260624,0.58,110000.0,59500.0
00728.HK,20260624,4.31,108204947.0,467181105.82
00730.HK,20260624,0.123,1392000.0,179419.0
00731.HK,20260624,0.41,380000.0,152700.0
00732.HK,20260624,0.89,1262000.0,1127240.0
00733.HK,20260624,0.195,6882.0,1315.17
00736.HK,20260624,0.227,255166.0,54307.374
00737.HK,20260624,1.89,36600.0,69170.0
00738.HK,20260624,0.249,1199000.0,315409.0
00745.HK,20260624,4.3,215460.0,861294.0
00746.HK,20260624,4.44,106000.0,474480.0
00747.HK,20260624,0.066,20000.0,1340.0
00751.HK,20260624,4.5,827681.0,3722534.02
00752.HK,20260624,2.24,342813.0,779277.38
00753.HK,20260624,4.33,33346830.0,145169700.2
00759.HK,20260624,0.234,292000.0,67218.0
00760.HK,20260624,0.155,152250.0,23606.25
00762.HK,20260624,6.57,38316416.0,252997374.6
00763.HK,20260624,23.96,17015753.0,407537210.32
00764.HK,20260624,0.295,1127.0,298.655
00767.HK,20260624,0.52,2640267.0,1304921.485
00768.HK,20260624,0.036,400000.0,14058.0
00770.HK,20260624,0.197,130000.0,25610.0
00771.HK,20260624,0.76,24000.0,18240.0
00809.HK,20260624,0.041,4026000.0,166522.0
00810.HK,20260624,0.076,162050.0,12561.15
00818.HK,20260624,0.42,444000.0,186000.0
00828.HK,20260624,0.199,176000.0,33740.0
00836.HK,20260624,18.3,32093095.0,586728679.9
00851.HK,20260624,0.175,20.0,3.0
00855.HK,20260624,4.5,2232000.0,10246420.0
00856.HK,20260624,9.05,5750200.0,51720472.0
00857.HK,20260624,8.95,64851702.0,579896163.86
00858.HK,20260624,0.059,2750000.0,170030.0
00859.HK,20260624,0.095,4000.0,354.0
00860.HK,20260624,0.6,69400.0,42188.0
00861.HK,20260624,1.88,232126.0,438000.58
00862.HK,20260624,1.67,1627000.0,3046450.0
00868.HK,20260624,8.59,16908200.0,144597079.9
00874.HK,20260624,14.54,596000.0,8744720.0
00875.HK,20260624,0.54,578500.0,309550.0
00876.HK,20260624,2.4,33200.0,80782.0
00878.HK,20260624,6.44,2000.0,12900.0
00882.HK,20260624,2.1,150000.0,316300.0
00883.HK,20260624,21.82,42066412.0,919706209.66
00889.HK,20260624,0.66,4210000.0,2806340.0
00894.HK,20260624,3.7,14035200.0,50605513.0
00896.HK,20260624,0.25,108354.0,26574.96
00897.HK,20260624,0.29,41302.0,11958.05
00898.HK,20260624,0.97,2000.0,1940.0
00899.HK,20260624,0.233,1217200.0,278680.0
00900.HK,20260624,8.19,100000.0,822080.0
00902.HK,20260624,5.75,78402341.0,453241800.22
00905.HK,20260624,0.167,96000.0,16032.0
00912.HK,20260624,1.05,156000.0,162280.0
00913.HK,20260624,0.138,682000.0,95652.5
00914.HK,20260624,17.04,5896331.0,100470682.86
00915.HK,20260624,0.049,494000.0,22739.0
00918.HK,20260624,1.08,4406570.0,4513302.9
00921.HK,20260624,24.64,1035000.0,25553110.0
00922.HK,20260624,0.112,580000.0,64710.0
00927.HK,20260624,0.5,4000.0,2040.0
