ts_code,latest_report_date,cash_like,strict_cash_like,total_liabilities,interest_debt,net_cash_after_all_liab,cash_to_liab,net_cash_to_mv,revenue_latest,revenue_cagr_3y,profit_latest,profit_cagr_3y,profit_positive_years,cfo_latest,cfo_positive_years,cfo_to_profit_latest,oneoff_ratio_latest,dps_latest,div_paid_latest,buyback_latest,shareholder_return_hkd,dps_yield_est,dividend_paid_yield_est,score,flags,name,fullname,market,list_date,price_hkd,total_mv_hkd,float_mv_hkd,turnover_hkd,pb,pe_ttm,pe_dynamic,ts_avg_amount_hkd,ts_median_amount_hkd,quote_time,quote_source,financial_source,strict_net_cash,liquidity_bucket
00259.HK,20250930,261150625.16,261150625.16,715935178.52,20555744.7,-454784553.36,0.36476853351424554,-0.10085874230757977,506097681.28,-0.08687694239643862,1112090895.22,0.6041503565124577,4,-4773059.44,2,-0.004291968813444667,1.1296957775663354,,1112922.62,,1112922.62,,0.00024681571726558373,29.469789110718793,现金类资产>有息负债;近年盈利稳定;一次性/其他收益占比较高,亿都(国际控股),亿都(国际控股)有限公司,主板,19930901,4.83,4509123780.0,4509123780.0,7059400.0,0.942439024390244,1.1508630393996249,1.1508630393996249,9401159.91,8592080.0,2026/06/25 15:11:24,tencent,cache,False,中低
00596.HK,20251231,2529027000.0,2515974000.0,5558858000.0,357380000.0,-3029831000.0,0.4549544168964201,-1.0269134556210322,7308014000.0,0.016076420059616403,237546000.0,0.26021466935315973,4,-609382000.0,2,-2.565322084985645,0.06534734325141235,,21918000.0,,21918000.0,,0.00742876058773634,28.83793294850271,现金类资产>有息负债;近年盈利稳定,浪潮数字企业,浪潮数字企业技术有限公司,主板,20080829,2.42,2950424871.1666665,2950424871.1666665,7728362.0,0.8433333333333334,11.219999999999999,11.219999999999999,70529664.5295,43150283.0,2026/06/25 15:06:41,tencent,cache,False,中低
01461.HK,20251231,30187278908.05,30187278908.05,42562556448.35,91986306.78,-12375277540.3,0.7092449661636867,-22.056801969650518,680942707.47,0.013362507229988774,85539526.77,-0.19845003480180512,4,-2244390590.99,3,-26.238052462281583,0.15696511129997218,,2702889.11,,2702889.11,,0.0048174345707441574,27.359057730533845,现金类资产>有息负债;近年盈利稳定;经营现金流稳定,中泰期货,中泰期货股份有限公司,主板,20150707,0.56,561064000.0,155170400.0,59460.0,0.19764705882352943,5.9294117647058835,5.9294117647058835,67115.29411764706,39060.0,2026/06/25 14:00:17,tencent,cache,False,极低
00258.HK,20251231,2118022900.1799998,2098591928.32,9454294576.84,1223251620.06,-7336271676.66,0.22402759750774837,-1.6401724863935188,2652939590.44,0.8620021311613095,714671921.78,2.5986097764693343,4,32087793.72,2,0.04489863494298255,0.16904286766871113,,40103871.22,,40103871.22,,0.008966034666107054,27.05298182249091,现金类资产>有息负债;近年盈利稳定,汤臣集团,汤臣集团有限公司,主板,19820726,1.98,4472865956.184466,4472865956.184466,1505660.0,0.33640776699029123,5.651650485436893,5.651650485436893,1298494.443,1166652.12,2026/06/25 15:08:11,tencent,cache,False,中低
00305.HK,20251231,3887386000.0,3347386000.0,7263216000.0,2552039000.0,-3375830000.0,0.5352155298699639,-2.729464215271561,8250131000.0,-0.13154514445822185,78992000.0,0.5173570259294038,4,59820000.0,1,0.757291877658497,2.5302815474984808,0.01,35499000.0,,35499000.0,0.02666666666666667,0.028702052584971743,23.30283033441885,现金类资产>有息负债;近年盈利稳定;一次性/其他收益占比较高,五菱汽车,五菱汽车集团控股有限公司,主板,19921123,0.375,1236810499.6987953,1236810499.6987953,725350.0,0.5512048192771084,14.141566265060241,14.141566265060241,651889.988,550899.88,2026/06/25 14:54:59,tencent,cache,False,低
02355.HK,20251231,8749971000.0,8441971000.0,28589878000.0,4059668000.0,-19839907000.0,0.306051358456304,-11.110099449937364,19946668000.0,-0.0652907916587313,289644000.0,-0.25651717931080986,4,-332041000.0,2,-1.1463762411788265,0.5201177997818011,,84119000.0,,84119000.0,,0.04710558651455781,22.268843222983005,现金类资产>有息负债;近年盈利稳定;一次性/其他收益占比较高;股东回报率较高,宝业集团,宝业集团股份有限公司,主板,20030630,3.43,1785754222.0391064,582708980.0,1052480.0,0.12455307262569834,5.5665642458100555,5.5665642458100555,731320.0,510710.0,2026/06/25 14:19:14,tencent,cache,False,中低
00334.HK,20251231,858911000.0,858911000.0,2942030000.0,914000.0,-2083119000.0,0.2919450175559053,-2.699311326172699,7725363000.0,0.22443484725544205,139429000.0,-0.06214854615187937,4,34069000.0,4,0.24434658500025103,0.744923939782972,,,,0.0,,0.0,21.027724795575054,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;一次性/其他收益占比较高,华显光电,华显光电技术控股有限公司,主板,19970618,0.365,771722394.4499999,771722394.4499999,347950.0,0.56575,5.000500000000001,5.000500000000001,910139.2960526316,477050.0,2026/06/25 14:56:30,tencent,cache,False,低
01742.HK,20251031,438072376.5,432163033.5,725358199.5,71217960.0,-287285823.0,0.6039393734047119,-0.9705602128378379,1546527493.5,0.14312925165411894,196280848.5,,2,215516251.5,3,1.0979993878516374,0.8687220011686468,,,,0.0,,0.0,18.701276404668747,现金类资产>有息负债;经营现金流稳定;一次性/其他收益占比较高,HPC HOLDINGS,HPC Holdings Limited,主板,20180511,0.185,296000000.0,296000000.0,182190.0,0.43898305084745765,1.3796610169491526,1.3796610169491526,135097.5,86695.0,2026/06/25 14:21:52,tencent,cache,False,极低
00317.HK,20251231,13855425043.73,13855425043.73,34331043434.18,4879199482.89,-20475618390.45,0.4035829866427984,-1.1815409668960581,20547052116.16,0.17103083474235636,1008262651.35,0.13561653873523993,4,-322225535.26,2,-0.3195849165180921,1.053222984128341,,343044038.49,,343044038.49,,0.019795279302257756,17.276732515412405,现金类资产>有息负债;近年盈利稳定;一次性/其他收益占比较高,中船防务,中船海洋与防务装备股份有限公司,主板,19930806,12.26,17329588193.831345,7258792874.937152,44342360.0,0.8387907716785997,12.69890214797136,12.69890214797136,30751984.886,28547000.0,2026/06/25 15:11:23,tencent,cache,False,中
01808.HK,20251231,361229000.0,168527000.0,798393000.0,140383000.0,-437164000.0,0.45244509909280267,-0.7564227041662149,3858546000.0,3.318525868087157,152186000.0,,3,43677000.0,1,0.2869974899136583,0.4752605364488192,,,,0.0,,0.0,12.634101998934447,现金类资产>有息负债;近年盈利稳定,企展控股,企展控股有限公司,主板,20070111,2.36,577936116.3965517,577936116.3965517,427732.0,1.0172413793103448,3.428103448275862,3.428103448275862,957007.425,647800.0,2026/06/25 15:05:00,tencent,cache,False,低
02258.HK,20251231,438171000.0,438171000.0,2820509000.0,387438000.0,-2382338000.0,0.15535174679463884,-9.162803219987616,1879652000.0,-0.03251576071257556,33099000.0,0.06895447934786936,3,14729000.0,2,0.4449983383183782,0.41448382126348227,,,,0.0,,0.0,11.761601880646124,现金类资产>有息负债;近年盈利稳定,华滋国际海洋,华滋国际海洋股份有限公司,主板,20181119,0.315,260000999.99999997,260000999.99999997,95950.0,0.3291044776119403,7.099253731343283,7.099253731343283,2250343.875,291625.0,2026/06/25 15:05:52,tencent,cache,False,极低
01401.HK,20251231,339883000.0,306618000.0,3551690000.0,126328000.0,-3211807000.0,0.09569613339001996,-8.996658263305322,4350253000.0,0.4421525548949343,41417000.0,0.8533389784294991,4,-230623000.0,2,-5.56831735760678,1.31779221092788,,,,0.0,,0.0,7.909023869885798,现金类资产>有息负债;近年盈利稳定;一次性/其他收益占比较高,未来机器有限公司,未来机器有限公司,主板,20191113,0.238,357000000.0,357000000.0,149956.0,0.6049166666666667,7.784583333333333,7.784583333333333,953662.9,904040.0,2026/06/25 13:49:28,tencent,cache,False,极低
01476.HK,20251231,12376782000.0,2660172000.0,34147558000.0,71960000.0,-21770776000.0,0.3624499883710572,-6.013447264670317,3346255000.0,0.08108869778272854,324944000.0,,3,-1537420000.0,1,-4.731338322911025,0.6056274311881432,,,,0.0,,0.0,3.2565706164213104,现金类资产>有息负债;近年盈利稳定;一次性/其他收益占比较高,金融街证券,金融街证券股份有限公司,主板,20151015,1.39,3620348702.133928,626675939.9999999,6539840.0,0.3847321428571428,10.065089285714283,10.065089285714283,1150695.3333333333,37640.0,2026/06/25 14:57:01,tencent,cache,False,中低
