ts_code,latest_report_date,cash_like,strict_cash_like,total_liabilities,interest_debt,net_cash_after_all_liab,cash_to_liab,net_cash_to_mv,revenue_latest,revenue_cagr_3y,profit_latest,profit_cagr_3y,profit_positive_years,cfo_latest,cfo_positive_years,cfo_to_profit_latest,oneoff_ratio_latest,dps_latest,div_paid_latest,buyback_latest,shareholder_return_hkd,dps_yield_est,dividend_paid_yield_est,score,flags,name,fullname,market,list_date,price_hkd,total_mv_hkd,float_mv_hkd,turnover_hkd,pb,pe_ttm,pe_dynamic,ts_avg_amount_hkd,ts_median_amount_hkd,source_batch,financial_source,strict_net_cash
01830.HK,20250930,380719050.86,380719050.86,458248399.48,161675063.3,-77529348.62,0.8308137056060056,-0.057679878799527226,443598722.4,-0.09798653334609342,86554155.92,-0.1403823537707507,4,142591042.36,4,1.6474199400869163,0.039850639213535294,,,,0.0,,0.0,63.925273414833555,现金类资产>有息负债;近年盈利稳定;经营现金流稳定,完美医疗,完美医疗健康管理有限公司,主板,20120210,1.07,1344131614.587156,1344131614.587156,293082.24,3.1314678899082566,8.353853211009174,8.353853211009174,556388.567,465768.535,补充宽筛,cache,False
01203.HK,20251231,866327979.1,866327979.1,1955912071.36,797491776.4599999,-1089584092.2599998,0.4429278758413808,-1.791821227155925,10965422281.74,0.13880669573090643,100813803.52,-0.059523515304348185,4,297041961.4,4,2.946441370412844,0.2609572104357798,,40988123.6,,40988123.6,,0.06740497631113125,63.872237827167915,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;股东回报率较高,广南(集团),粤海广南(集团)有限公司,主板,19941209,0.67,608087501.0,608087501.0,33060.0,0.22,5.45,5.45,74133.0,32120.0,补充宽筛,cache,False
02663.HK,20250930,62677902.96,62677902.96,108682965.16,9779841.76,-46005062.199999996,0.5767040204297643,-0.2429551406291423,257834456.91,0.62547164128378,22509449.64,1.4623725244099628,3,-25987975.7,2,-1.1545362554675058,0.012319186138928627,,15254069.84,,15254069.84,,0.08055754097304445,63.51282217591567,现金类资产>有息负债;近年盈利稳定;股东回报率较高,应力控股,应力控股有限公司,主板,20171024,0.34,189356200.0,189356200.0,27000.0,0.7336842105263157,8.338947368421053,8.338947368421053,256447.0588235294,177800.0,补充宽筛,cache,False
01851.HK,20251231,250691000.0,243503000.0,494582000.0,180492000.0,-243891000.0,0.5068744919952607,-0.06503759999999999,400679000.0,0.11869713201800725,162570000.0,0.24125268913206654,4,211397000.0,4,1.3003444669988313,0.018939533739312297,,,,0.0,,0.0,63.083674369674924,现金类资产>有息负债;近年盈利稳定;经营现金流稳定,银杏教育,中国银杏教育集团有限公司,主板,20190118,7.5,3750000000.000001,3750000000.000001,2922520.0,3.072687224669604,20.837004405286347,20.837004405286347,4055564.1,3511530.0,补充宽筛,cache,False
01177.HK,20251231,22546640000.0,12180729000.0,33923894000.0,16070011000.0,-11377254000.0,0.6646241731565368,-0.1437934070277975,31834488000.0,0.06945513258749747,2343348000.0,-0.026959243296683533,4,9291821000.0,4,3.96519040279122,0.8600724262892238,,1819854000.0,110000000.0,1929854000.0,,0.024390796032700255,62.11972543277862,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;一次性/其他收益占比较高,中国生物制药,中国生物制药有限公司,主板,20031208,4.23,79122222883.28282,79122222883.28282,338806556.54,2.335113122171946,30.500022624434397,30.500022624434397,440972784.042,411608977.29,补充宽筛,cache,False
02601.HK,20251231,250099000000.0,250099000000.0,2810543000000.0,154000000.0,-2560444000000.0,0.0889860073302561,-9.69224228664336,435156000000.0,0.09422827185546234,53505000000.0,0.1269755249672866,4,195523000000.0,4,3.6542939912157744,0.0,,15277000000.0,,15277000000.0,,0.057829183302993775,61.49001362218848,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;股东回报率较高,中国太保,中国太平洋保险(集团)股份有限公司,主板,20091223,27.46,264174576354.58463,76209738000.0,384861568.36,0.7306219765031099,4.393220456116103,4.393220456116103,476189897.579,424273725.69,补充宽筛,cache,False
00780.HK,20251231,11854833000.0,6505907000.0,18372116000.0,5407126000.0,-6517283000.0,0.6452622550391038,-0.22075238429705393,19395959000.0,0.43348285248314755,2371234000.0,,3,4310911000.0,4,1.8180032000215922,-0.04934013260606081,,379774000.0,,379774000.0,,0.012863645171466292,61.485801593563636,现金类资产>有息负债;近年盈利稳定;经营现金流稳定,同程旅行,同程旅行控股有限公司,主板,20181126,12.54,29523046923.153786,29523046923.153786,207267529.28,1.141744452945677,10.61150726855394,10.61150726855394,180287841.9715,171673350.435,补充宽筛,cache,False
09916.HK,20251231,227577000.0,227577000.0,235820000.0,1595000.0,-8243000.0,0.9650453735900263,-0.05804929577464789,410587000.0,0.08543113039002148,45044000.0,-0.015290003023654797,4,25812000.0,4,0.5730396945209129,0.0014430334783766983,,,,0.0,,0.0,60.70322908617979,现金类资产>有息负债;近年盈利稳定;经营现金流稳定,兴业物联,兴业物联服务集团有限公司,主板,20200309,0.355,142000000.0,142000000.0,14730.0,0.24,2.85,2.85,38518.82352941176,24610.0,补充宽筛,cache,False
03898.HK,20251231,6713862572.0,6713862572.0,26159454776.0,388387966.0,-19445592204.0,0.2566514718861662,-0.3801025958719216,28702700063.0,0.16755856306582873,4096540421.0,0.17029532159624927,4,3964724300.0,4,0.9678225752822371,0.1271993727509225,,2029782587.0,,2029782587.0,,0.03967611900323714,60.0630152221432,现金类资产>有息负债;近年盈利稳定;经营现金流稳定,时代电气,株洲中车时代电气股份有限公司,主板,20061220,37.96,51158798743.25388,18175069588.0,193583626.8,1.0549724586880322,11.167501251877818,11.167501251877818,245946049.094,229016864.9,补充宽筛,cache,False
06066.HK,20251231,446792277471.55,176697854471.55,557665478763.26,103353679372.45999,-110873201291.71002,0.8011833159592475,-1.1583364534055742,34615388000.0,0.053468857203816667,9439424000.0,0.07874856161770949,4,42719709000.0,3,4.5256690450603765,0.03916467784474985,,2524014000.0,,2524014000.0,,0.026369378632928667,58.43710837536224,现金类资产>有息负债;近年盈利稳定;经营现金流稳定,中信建投证券,中信建投证券股份有限公司,主板,20161209,12.34,95717613794.97,15561033222.619629,338852731.21,0.9807948094079482,7.596155717761557,7.596155717761557,145477153.178,104435937.32,补充宽筛,cache,False
