end_date,revenue,profit_owner,cfo,dividend_paid,buyback,shareholder_return,cash_like,total_liabilities,cash_to_liab,cfo_to_profit,ts_code,name
20231231,624031180.89,133718823.75,2853330841.19,28731390.8,,28731390.8,18818465172.73,27566098522.22,0.6826669779751798,21.338288515942768,01461.HK,中泰期货
20241231,629527424.56,4529834.45,1882638880.38,15226801.94,,15226801.94,20752524020.89,31205835420.8,0.6650206200554903,415.6087603554695,01461.HK,中泰期货
20251231,680942707.47,85539526.77,-2244390590.99,2702889.11,,2702889.11,30187278908.05,42562556448.35,0.7092449661636867,-26.238052462281583,01461.HK,中泰期货
20210831,941015000.0,-3127631000.0,799400000.0,,,0.0,747751000.0,6492365000.0,0.11517390041995483,-0.25559281130031003,01317.HK,枫叶教育
20220831,989795000.0,57125000.0,508148000.0,,,0.0,837581000.0,4899969000.0,0.17093597939089003,8.895369803063458,01317.HK,枫叶教育
20230831,1151162000.0,5120000.0,248174000.0,,,0.0,535307000.0,4717371000.0,0.11347570500602984,48.471484375,01317.HK,枫叶教育
20240831,1228462000.0,15513000.0,403186000.0,,,0.0,614223000.0,4650326000.0,0.1320817078200539,25.990201766260554,01317.HK,枫叶教育
20250831,1180049000.0,308877000.0,335320000.0,,25760000.0,25760000.0,1814760000.0,4591802000.0,0.3952173895999871,1.0856101295985132,01317.HK,枫叶教育
20210930,563825004.72,-479920867.64,2632647874.84,,,0.0,2248145699.6,2455326055.48,0.9156200230850816,-5.485587421497187,00717.HK,英皇资本
20220930,463818538.56,-270639198.96,426289705.2,,,0.0,2201289382.8,1931709283.08,1.139555212619867,-1.5751218110241485,00717.HK,英皇资本
20230930,404717040.98,-147406247.94,344749002.85,,,0.0,2210711985.02,1656071637.01,1.3349132583487697,-2.3387679129471235,00717.HK,英皇资本
20240930,479416814.12,59843686.19,434035134.16,,,0.0,2469872050.45,1639225165.34,1.5067314135198207,7.252814152891006,00717.HK,英皇资本
20250930,666358538.56,134149629.28,915042421.82,,,0.0,3732384579.32,2104850739.54,1.7732300486711405,6.821058147765013,00717.HK,英皇资本
20211231,3598918000.0,619559000.0,178439000.0,343169000.0,8143000.0,351312000.0,2319868000.0,1980452000.0,1.1713830984037987,0.2880096972201195,09983.HK,建业新生活
20221231,3148141000.0,562260000.0,308664000.0,610443000.0,14054000.0,624497000.0,2076244000.0,2275689000.0,0.9123584110131041,0.5489702272969801,09983.HK,建业新生活
20231231,2844655000.0,-574369000.0,-77088000.0,331672000.0,2933000.0,334605000.0,1661103000.0,2688729000.0,0.6178023147740066,0.13421337154338064,09983.HK,建业新生活
20241231,2952227000.0,214594000.0,3856000.0,416529000.0,,416529000.0,1194737000.0,2737588000.0,0.43641957811036575,0.017968815530723135,09983.HK,建业新生活
20251231,2768451000.0,157484000.0,-524144000.0,130617000.0,140000.0,130757000.0,415514000.0,2364709000.0,0.17571464395830522,-3.3282365192654493,09983.HK,建业新生活
20211231,2092172000.0,348239000.0,-55865000.0,62073000.0,1486000.0,63559000.0,521729000.0,2029327000.0,0.2570945934292502,-0.16042143470432663,02377.HK,博奇环保
20221231,1900248000.0,151749000.0,137044000.0,63821000.0,60000.0,63881000.0,427149000.0,1876376000.0,0.2276457383807936,0.9030965607681105,02377.HK,博奇环保
20231231,2138199000.0,240184000.0,86398000.0,27652000.0,,27652000.0,351931000.0,1949864000.0,0.18049002391961697,0.3597158844885588,02377.HK,博奇环保
20241231,2150937000.0,236436000.0,383732000.0,32148000.0,,32148000.0,629337000.0,2123316000.0,0.2963934713438791,1.6229846554670186,02377.HK,博奇环保
20251231,2229805000.0,239885000.0,318208000.0,35838000.0,173374000.0,209212000.0,672991000.0,1849544000.0,0.36386860761355233,1.326502282343623,02377.HK,博奇环保
20210831,1251644000.0,413716000.0,956288000.0,93175000.0,26190000.0,119365000.0,1162329000.0,3120132000.0,0.37252558545599995,2.3114600353865935,00382.HK,中汇集团
20220831,1685972000.0,567486000.0,944461000.0,128070000.0,,128070000.0,1318052000.0,3650491000.0,0.3610615667864953,1.664289515512277,00382.HK,中汇集团
20230831,1972982000.0,618370000.0,1347487000.0,59168000.0,,59168000.0,2002779000.0,4259965000.0,0.47013977814371716,2.1790950401862963,00382.HK,中汇集团
20240831,2311986000.0,714746000.0,1035619000.0,92193000.0,,92193000.0,2335809000.0,4253540000.0,0.5491447124042562,1.4489329076343205,00382.HK,中汇集团
20250831,2489038000.0,513872000.0,914592000.0,78331000.0,,78331000.0,2463375000.0,4725524000.0,0.521291395409271,1.779805087648286,00382.HK,中汇集团
20211231,5072883086.3,71375961.5,360010276.2,,,0.0,632144279.3,2283291186.8,0.2768566194949235,5.043858865564984,00311.HK,联泰控股
20221231,5981623320.6,69026150.6,153012262.0,43424281.0,,43424281.0,201973.4,2205431129.8,9.158000776851099e-05,2.216728887095147,00311.HK,联泰控股
20231231,4934049631.8,-42552861.6,-19264944.0,21389754.0,,21389754.0,536727006.0,2006606819.7,0.26747990723974713,0.45272969374167776,00311.HK,联泰控股
20241231,4847756322.4,-243622064.4,-130332880.4,1962433.2,,1962433.2,394434696.4,2079467540.4,0.18968062195581456,0.5349797881443451,00311.HK,联泰控股
20251231,4477254225.6,31735032.0,209683161.6,,,0.0,385747572.8,1911172892.8,0.2018381352379131,6.607308970099668,00311.HK,联泰控股
20211231,2563485932.42,398954319.29,103703508.56,56405360.0,,56405360.0,929253989.97,1806229221.74,0.5144717950442741,0.25993830257197414,02146.HK,荣万家
20221231,2014869917.97,242127270.52,-573883932.28,94361574.73,,94361574.73,851483750.31,1953338522.35,0.4359120247552415,-2.3701747062505976,02146.HK,荣万家
20231231,1831896676.99,126327993.55,-13510977.81,26544986.66,,26544986.66,678633118.81,2061107854.15,0.32925648089865145,-0.10695157447151586,02146.HK,荣万家
20241231,1956931773.56,113814240.93,-45081997.75,27091346.26,,27091346.26,583595247.6,1966170635.1,0.2968182095600864,-0.39610155444191825,02146.HK,荣万家
20251231,1912958890.05,112608615.45,-22898220.09,106495.83,,106495.83,529387382.8,1979778324.83,0.26739730209212065,-0.20334341203375483,02146.HK,荣万家
20211231,1941747000.0,-190940000.0,-86340000.0,101675000.0,,101675000.0,1209222000.0,1497153000.0,0.8076809784971877,0.45218393212527497,03662.HK,星悦康旅
20221231,1629751000.0,160407000.0,-105682000.0,,,0.0,826180000.0,1228668000.0,0.6724192377436379,-0.658836584438335,03662.HK,星悦康旅
20231231,1563010000.0,157137000.0,106011000.0,3000000.0,,3000000.0,960295000.0,1127971000.0,0.8513472420833514,0.6746406002405544,03662.HK,星悦康旅
20241231,1355282000.0,96216000.0,140334000.0,669000.0,,669000.0,1030167000.0,1114068000.0,0.9246895162593307,1.4585308056872037,03662.HK,星悦康旅
20251231,1219825000.0,51568000.0,22171000.0,19448000.0,,19448000.0,1940552000.0,996930000.0,1.9465278404702437,0.42993717033819423,03662.HK,星悦康旅
20211231,3969911579.2,44201091.2,330714294.4,18551344.0,,18551344.0,792426096.0,1097583849.6,0.7219731743399735,7.482039140246383,01203.HK,广南(集团)
20221231,7424638709.04,121192620.71,82796303.03,24651572.19,,24651572.19,1082313623.37,1875950074.11,0.576941592586614,0.6831794093150443,01203.HK,广南(集团)
20231231,9411826019.54,59741647.28,235545608.62,33999561.96,,33999561.96,938778672.16,1806419074.32,0.5196904115471597,3.9427370911959225,01203.HK,广南(集团)
20241231,11092836839.52,130343834.16,62369720.04,36932327.28,,36932327.28,884193178.44,1927531887.12,0.4587177957201566,0.47850149906929823,01203.HK,广南(集团)
20251231,10965422281.74,100813803.52,297041961.4,40988123.6,,40988123.6,866327979.1,1955912071.36,0.4429278758413808,2.946441370412844,01203.HK,广南(集团)
20211231,337925000.0,55038000.0,92658000.0,4796000.0,,4796000.0,465328000.0,47730000.0,9.749172428242195,1.6835277444674588,03601.HK,鲁大师
20221231,359102000.0,60486000.0,94151000.0,2634000.0,,2634000.0,552902000.0,60074000.0,9.2036821253787,1.5565750752240188,03601.HK,鲁大师
20231231,790512000.0,42642000.0,55964000.0,9496000.0,,9496000.0,583852000.0,120004000.0,4.865271157628079,1.312414989916045,03601.HK,鲁大师
20241231,1315076000.0,34901000.0,-82482000.0,,,0.0,485336000.0,107742000.0,4.504612871489298,-2.3633133721096815,03601.HK,鲁大师
20251231,1091373000.0,26104000.0,26899000.0,24645000.0,,24645000.0,479260000.0,79431000.0,6.033664438317533,1.030455102666258,03601.HK,鲁大师
20211231,6020899000.0,29148000.0,39292000.0,12940000.0,,12940000.0,992314000.0,2080203000.0,0.47702748241397597,1.3480170166049128,01292.HK,长安民生物流
20221231,7720202129.16,38481808.17,79710243.12,24939810.95,,24939810.95,975746951.07,2753797083.58,0.35432783224590625,2.071374680936673,01292.HK,长安民生物流
20231231,7968998231.49,56446864.92,197818960.93,34786472.02,,34786472.02,882939512.98,2984847923.87,0.2958072020752153,3.504516348434254,01292.HK,长安民生物流
20241231,8963208271.72,59943006.45,360571277.69,46878705.07,,46878705.07,995091926.76,2990079928.74,0.33279776811161205,6.01523512156104,01292.HK,长安民生物流
20251231,9531636274.71,40235553.58,-217495784.31,53108542.66,,53108542.66,671963726.87,3405992645.9,0.1972886605257012,-5.405562120017935,01292.HK,长安民生物流
20210331,255121808.9,-150083683.68,-196902429.78,46533920.44,23513752.78,70047673.22,2769415674.06,398597030.16,6.947908450166662,1.3119509393161237,00296.HK,英皇娱乐酒店
20220331,337294192.94,-428470370.17,-130721024.83,77682592.85,11849667.11,89532259.96,799198450.36,315233098.92,2.5352618525722166,0.30508766517072133,00296.HK,英皇娱乐酒店
20230331,254848483.79,-85958258.72,-41743050.44,,3861433.51,3861433.51,382658343.79,287477640.72,1.3310890642890203,0.4856200097767639,00296.HK,英皇娱乐酒店
20240331,715505466.1,55195296.75,134057894.35,,,0.0,557247219.5,263108006.5,2.1179409433897254,2.428791984889546,00296.HK,英皇娱乐酒店
20250331,772367182.65,-174284750.97,175099609.86,16451290.41,,16451290.41,984129905.5799999,372318531.99,2.6432471688152024,-1.004675445702879,00296.HK,英皇娱乐酒店
