year,date_text,title,url,codes,kind
2019,17 May 2019,The Listing Committee censures Weiqiao Textile Company Limited (Stock Code: 2698) and three of its current directors for breaching the Listing Rules and/or the Director’s Undertaking,https://www.hkex.com.hk/News/Regulatory-Announcements/2019/190517news?sc_lang=en,02698,other
2019,16 May 2019,Announcement - In relation to the matter of China Huishan Dairy Holdings Company Limited (Provisional Liquidators Appointed) (Incorporated in Cayman Islands with limited liability) (Stock code: 6863) Proceeding to third stage of delisting procedures,https://www.hkex.com.hk/News/Regulatory-Announcements/2019/190516news?sc_lang=en,06863,other
2019,14 May 2019,The Listing Committee censures GT Group Holdings Limited (Stock Code: 263) and a number of its current and former directors for breaching the Listing Rules and/or the Director’s Undertaking,https://www.hkex.com.hk/News/Regulatory-Announcements/2019/190514news?sc_lang=en,00263,other
2019,26 Apr 2019,Exchange Updates and Streamlines Guidance Materials,https://www.hkex.com.hk/News/Regulatory-Announcements/2019/190426news?sc_lang=en,,other
2019,25 Mar 2019,Reminder of Deadline for Applications to the Listing Committee and Listing Review Committee,https://www.hkex.com.hk/News/Regulatory-Announcements/2019/190325news?sc_lang=en,,listing_review
2019,22 Mar 2019,Exchange Publishes Guidance on Reasons for Rejected Listing Applications in 2018,https://www.hkex.com.hk/News/Regulatory-Announcements/2019/1903225news?sc_lang=en,,other
2019,22 Mar 2019,Exchange Updates and Streamlines Guidance Materials,https://www.hkex.com.hk/News/Regulatory-Announcements/2019/1903224news?sc_lang=en,,other
2019,22 Mar 2019,Announcement - In relation to the matter of Cloud Investment Holdings Limited (Stock Code: 8129) Cancellation of listing,https://www.hkex.com.hk/News/Regulatory-Announcements/2019/1903223news?sc_lang=en,08129,cancellation
2019,19 Mar 2019,Exchange Publishes its Latest Listing Committee Report,https://www.hkex.com.hk/News/Regulatory-Announcements/2019/190319news?sc_lang=en,,other
2019,06 Mar 2019,Announcement - In relation to the matter of Zhongda International Holdings Limited (Incorporated in Bermuda with limited liability) (Stock Code: 909) Cancellation of listing,https://www.hkex.com.hk/News/Regulatory-Announcements/2019/190306news?sc_lang=en,00909,cancellation
2019,19 Feb 2019,Announcement - In relation to the matter of China Taifeng Beddings Holdings Limited (Provisional Liquidators Appointed) (Stock Code: 873) Cancellation of listing,https://www.hkex.com.hk/News/Regulatory-Announcements/2019/190219news?sc_lang=en,00873,cancellation
2019,18 Feb 2019,Announcement - In relation to the matter of Victory Group Limited (Incorporated in Bermuda with limited liability) (Stock Code: 1139) Proceeding to third stage of delisting procedures,https://www.hkex.com.hk/News/Regulatory-Announcements/2019/190218news?sc_lang=en,01139,other
2019,13 Feb 2019,Announcement - In relation to the matter of China Fiber Optic Network System Group Limited (In Liquidation) (Incorporated in Cayman Islands with limited liability) (Stock Code: 3777) Cancellation of listing,https://www.hkex.com.hk/News/Regulatory-Announcements/2019/190213news?sc_lang=en,03777,cancellation
2019,01 Feb 2019,Exchange Publishes Consultation Conclusions on Proposed Changes to Documentary Requirements and other Minor Rule Amendments,https://www.hkex.com.hk/News/Regulatory-Announcements/2019/190201news?sc_lang=en,,other
2019,31 Jan 2019,Exchange Publishes Results of Latest Review of Issuers’ Annual Report Disclosure,https://www.hkex.com.hk/News/Regulatory-Announcements/2019/1901312news?sc_lang=en,,other
2019,25 Jan 2019,Listing Nominating Committee Seeks Candidates for Inaugural Listing Review Committee,https://www.hkex.com.hk/News/Regulatory-Announcements/2019/190125news?sc_lang=en,,listing_review
2019,25 Jan 2019,Listing Nominating Committee Seeks Listing Committee Candidates,https://www.hkex.com.hk/News/Regulatory-Announcements/2019/1901252news?sc_lang=en,,other
2019,18 Jan 2019,Exchange Publishes Consultation Conclusions on Proposed Changes to Review Structure for Listing Committee Decisions,https://www.hkex.com.hk/News/Regulatory-Announcements/2019/190118news?sc_lang=en,,other
2020,22 Dec 2020,Announcement – In relation to the matter of Combest Holdings Limited (Incorporated in Cayman Islands with limited liability) (Stock Code: 8190) Cancellation of listing,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/201222news?sc_lang=en,08190,cancellation
2020,18 Dec 2020,"Exchange Publishes Conclusions on Paperless Listing & Subscription Regime, Online Display of Documents and Reduction of the Types of Documents on Display",https://www.hkex.com.hk/News/Regulatory-Announcements/2020/201218news?sc_lang=en,,other
2020,11 Dec 2020,"Exchange Publishes its Latest Review of Issuers’ Corporate Governance Practices, and Practitioners’ Insights on Corporate Governance and ESG",https://www.hkex.com.hk/News/Regulatory-Announcements/2020/201211news?sc_lang=en,,other
2020,11 Dec 2020,Announcement – In relation to the matter of Hua Han Health Industry Holdings Limited (In Compulsory Liquidation) (Incorporated in Cayman Islands with limited liability) (Stock Code: 587) Cancellation of listing,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/2012113news?sc_lang=en,00587,cancellation
2020,11 Dec 2020,Announcement – In relation to the matter of Netel Technology (Holdings) Limited (Incorporated in the Cayman Islands with limited liability) (Stock Code: 8256) Cancellation of listing,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/2012112news?sc_lang=en,08256,cancellation
2020,10 Dec 2020,Announcement – In relation to the matter of SMI Holdings Group Limited (In Liquidation) (Incorporated in Bermuda with limited liability) (Stock Code: 198) Cancellation of listing,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/201210news?sc_lang=en,00198,cancellation
2020,04 Dec 2020,Announcement – In relation to the matter of Wuzhou International Holdings Limited (Incorporated in Cayman Islands with limited liability) (Stock Code: 1369) Cancellation of listing,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/201204news?sc_lang=en,01369,cancellation
2020,02 Dec 2020,Announcement – In relation to the matter of Haitian Energy International Limited (In provisional liquidation) (Incorporated in the Cayman Islands with limited liability) (Stock Code: 1659) Cancellation of listing,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/201202news?sc_lang=en,01659,cancellation
2020,27 Nov 2020,Exchange Publishes Consultation Paper on Main Board Profit Requirement,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/201127news?sc_lang=en,,other
2020,26 Nov 2020,Announcement – In relation to the matter of Centron Telecom International Holding Limited (In Provisional Liquidation) (Incorporated in the Cayman Islands with limited liability) (Stock Code: 1155) Cancellation of listing,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/201126news?sc_lang=en,01155,cancellation
2020,25 Nov 2020,Announcement – In relation to the matter of DBA Telecommunication (Asia) Holdings Limited (Stock Code: 3335) Cancellation of listing,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/2011252news?sc_lang=en,03335,cancellation
2020,25 Nov 2020,Announcement – In relation to the matter of Chong Sing Holdings Fintech Group Limited (In Official Liquidation) (Incorporated in Cayman Islands with limited liability) (Stock Code: 8207) Cancellation of listing,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/201125news?sc_lang=en,08207,cancellation
2020,13 Nov 2020,Exchange Expands its Biotech Advisory Panel,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/201113news?sc_lang=en,,other
2020,11 Nov 2020,Announcement – In relation to the matter of Tenwow International Holdings Limited (In Provisional Liquidation) (Incorporated in the Cayman Islands with limited liability) (Stock Code: 1219) Cancellation of listing,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/2011113news?sc_lang=en,01219,cancellation
2020,30 Oct 2020,Exchange Publishes Consultation Conclusions on Corporate WVR,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/201030news?sc_lang=en,,other
2020,30 Oct 2020,Announcement – In relation to the matter of Boshiwa International Holding Limited (Provisional Liquidators Appointed) (Stock Code: 1698) Cancellation of listing,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/2010302news?sc_lang=en,01698,cancellation
2020,27 Oct 2020,Announcement – In relation to the matter of China Yu Tian Holdings Limited (Incorporated in the Cayman Islands with limited liability) (Stock Code: 8230) Cancellation of listing,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/201027news?sc_lang=en,08230,cancellation
2020,19 Oct 2020,Appointment of HKEX Risk Management Committee (Statutory) Member,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/201019news?sc_lang=en,,other
2020,16 Oct 2020,Announcement – In relation to the matter of Brightoil Petroleum (Holdings) Limited (Incorporated in the Bermuda with limited liability) Cancellation of listing,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/201016news?sc_lang=en,,cancellation
2020,08 Oct 2020,Announcement – In relation to the matter of CW Group Holdings Limited (In Provisional Liquidation) (Incorporated in the Cayman Islands with limited liability) (Stock Code: 1322) Cancellation of listing,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/201008news?sc_lang=en,01322,cancellation
2020,09 Sep 2020,Announcement – In relation to the matter of Hong Kong Life Sciences and Technologies Group Limited (incorporated in the Cayman Islands with limited liability) (Stock Code: 8085) Cancellation of listing,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/200909news?sc_lang=en,08085,cancellation
2020,03 Sep 2020,The Listing Committee censures Sanai Health Industry Group Company Limited (Stock Code: 1889) and criticises a number of its former and current directors for breaching the Listing Rules and/or the Director’s Undertaking pdf,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2020/200903news/e_censure-Sanai-Health_0903.pdf,01889,other
2020,28 Aug 2020,Exchange Publishes Consultation Conclusions on Codification of General Waivers and Principles Relating to IPOs and Listed Issuers and Minor Rule Amendments,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/200828news?sc_lang=en,,other
2020,21 Aug 2020,Exchange Publishes Chapter 37 Consultation Conclusions and Guidance on Disclosures in Listing Documents and Continuing Obligations under Chapter 37,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/200821news?sc_lang=en,,other
2020,11 Aug 2020,The Listing Committee censures Zhongtian International Limited (Stock Code: 2379) and a number of its former and current directors for breaching the Listing Rules and/or the Director’s Undertaking pdf,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2020/200811news/e_censure-Zhongtian_LD.pdf,02379,other
2020,07 Aug 2020,Exchange Publishes Consultation Paper on Review of Disciplinary Powers and Sanctions,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/200807news?sc_lang=en,,other
2020,30 Jul 2020,Announcement – In relation to the matter of Peace Map Holding Limited (In Liquidation) (Incorporated in the Cayman Islands and continued in Bermuda with limited liability) (Stock Code: 402) Cancellation of listing,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/200730news?sc_lang=en,00402,cancellation
2020,24 Jul 2020,"Exchange invites feedback on Proposals to Introduce a Paperless Listing & Subscription Regime, Online Display of Documents and Reduction of the Types of Documents on Display",https://www.hkex.com.hk/News/Regulatory-Announcements/2020/200724news?sc_lang=en,,other
2020,10 Jul 2020,Appointment of Listing Committee Members,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/200710news?sc_lang=en,,other
2020,10 Jul 2020,Appointment of Listing Review Committee Members,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/2007102news?sc_lang=en,,listing_review
2020,08 Jul 2020,"The Listing Committee censures State Energy Group International Assets Holdings Limited (“Company”) (Stock Code: 918) and Mr Zhou Xin Yu, former executive director and CEO of the Company, for breaching the Listing Rules and/or the Director’s Undertaking pdf",https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2020/200708news/e_censure-State-Energy-Group_LD.pdf,00918,other
2020,03 Jul 2020,Announcement – In relation to the matter of Celebrate International Holdings Limited (the “Company”) (Incorporated in Cayman Islands with limited liability) (Stock Code: 8212) Cancellation of listing,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/200703news?sc_lang=en,08212,cancellation
2020,30 Jun 2020,Announcement – In relation to the matter of Greens Holdings Ltd (In Provisional Liquidation) (Incorporated in the Cayman Islands with limited liability) (Stock Code: 1318) Cancellation of listing,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/2006302news?sc_lang=en,01318,cancellation
2020,09 Jun 2020,Announcement – In relation to the matter of Tianhe Chemicals Group Limited (Incorporated in the British Virgin Islands with limited liability) (Stock Code: 1619) Cancellation of listing,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/200609news?sc_lang=en,01619,cancellation
2020,02 Jun 2020,Announcement – In relation to the matter of Superb Summit International Group Limited (Incorporated in the Cayman Islands with limited liability) (Stock Code: 1228) Cancellation of listing,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/2006022news?sc_lang=en,01228,cancellation
2020,21 May 2020,"Announcement – In relation to the matter of Dahe Media Co., Ltd. (a joint stock limited company incorporated in the People’s Republic of China with limited liability) (Stock Code: 8243) Cancellation of listing",https://www.hkex.com.hk/News/Regulatory-Announcements/2020/200521news?sc_lang=en,08243,cancellation
2020,13 May 2020,Kong Sun Holdings Limited (Stock Code: 295) and seven of its current and former directors censured for breaching the Listing Rules and the Director’s Undertaking pdf,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2020/200513news/LD_e_Kong-Sun-censure.pdf,00295,other
2020,29 Apr 2020,Exchange Updates Guidance Materials for Biotech Companies,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/2004292news?sc_lang=en,,other
2020,28 Apr 2020,Exchange Extends Consultation Period for Consultation Paper on Corporate WVR Beneficiaries,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/200428news?sc_lang=en,,other
2020,27 Apr 2020,The Listing Committee censures or criticises a number of former directors of Champion Technology Holdings Limited (Stock Code: 92) and/or Kantone Holdings Limited (Stock Code: 1059) for breaching the Listing Rules pdf,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2020/200427news/LD_e_Champion-Kantone-censure.pdf,00092;01059,other
2020,22 Apr 2020,"The Listing Committee criticises China Ding Yi Feng Holdings Limited (Stock Code: 612), and censures or criticises a number of its former and current directors for breaching the Listing Rules and/or the Director’s Undertaking pdf",https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2020/200422news/LD_e_Dingyifeng-censure.pdf,00612,other
2020,01 Apr 2020,Joint Statement in relation to General Meetings in light of the Prevention and Control of Disease (Prohibition on Group Gathering) Regulation,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/200401news?sc_lang=en,,other
2020,31 Mar 2020,Announcement – In relation to the matter of Real Gold Mining Limited (Incorporated in the Cayman Islands with limited liability) (Stock Code: 246) Cancellation of listing,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/200331news?sc_lang=en,00246,cancellation
2020,18 Mar 2020,Announcement – In relation to the matter of Hosa International Limited (Incorporated in the Cayman Islands with limited liability) (Stock Code: 2200) Cancellation of listing,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/2003182news?sc_lang=en,02200,cancellation
2020,18 Mar 2020,Announcement – In relation to the matter of China First Chemical Holdings Limited (Incorporated in Cayman Islands with limited liability) (Stock Code: 2121) Cancellation of listing,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/2003183news?sc_lang=en,02121,cancellation
2020,16 Mar 2020,Further Guidance on the Joint Statement in relation to Results Announcements in light of the COVID-19 Pandemic,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/2003163news?sc_lang=en,,other
2020,16 Mar 2020,"Announcement – In relation to the matter of Baytacare Pharmaceutical Co., Ltd (the “Company”) (Incorporated in the People’s Republic of China with limited liability) (Stock Code: 8197) Cancellation of listing",https://www.hkex.com.hk/News/Regulatory-Announcements/2020/2003162news?sc_lang=en,08197,cancellation
2020,16 Mar 2020,Exchange Publishes its Latest Listing Committee Report,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/200316news?sc_lang=en,,other
2020,13 Mar 2020,"The Listing Committee censures Great Wall Belt & Road Holdings Limited (formerly known as e-Kong Group Limited) (Stock Code: 524), and censures or criticises a number of its former directors for breaching the Listing Rules and/or the Director’s Undertaking pdf",https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2020/202003/e_200313.pdf,00524,other
2020,09 Mar 2020,Reminder of Deadline for Applications to the Listing Committee and Listing Review Committee,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/200309news?sc_lang=en,,listing_review
2020,06 Mar 2020,Exchange Launches E-training and Publishes Guidance Materials on ESG Reporting,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/200306news?sc_lang=en,,other
2020,28 Feb 2020,Exchange Updates and Streamlines Guidance Materials,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/200228news?sc_lang=en,,other
2020,27 Feb 2020,"The Listing Committee censures Yorkshine Holdings Limited (previous Stock Code: 1048), and censures or criticises a number of its former directors for breaching the Listing Rules and/or the Director’s Undertaking",https://www.hkex.com.hk/News/Regulatory-Announcements/2020/200227news?sc_lang=en,01048,other
2020,26 Feb 2020,Announcement – In relation to the matter of Tech Pro Technology Development Limited (Incorporated in the Cayman Islands with limited liability) (Stock Code: 3823) Cancellation of listing,https://www.hkex.com.hk/News/Regulatory-Announcements/2020/2002264news?sc_lang=en,03823,cancellation
