ts_code,ts_latest_close,ts_days,ts_avg_amount_hkd,ts_median_amount_hkd
01030.HK,1.46,20,62617490.443,50015403.0
01033.HK,0.63,20,40502908.637,40550971.25
01036.HK,1.8,18,105722.77777777778,62885.0
01037.HK,0.475,20,493497.47000000003,444225.0
01038.HK,58.5,20,220624390.2085,184758613.725
01039.HK,0.049,14,32112.571428571428,19061.5
01044.HK,23.22,20,98152258.567,84648644.07
01045.HK,2.48,20,13572804.0015,12879782.625
01046.HK,0.395,13,35355.95923076923,24000.0
01047.HK,0.325,1,22400.0,22400.0
01049.HK,1.09,20,275790.9045,269955.1
01050.HK,2.91,20,27733268.05,21087249.0
01051.HK,8.32,20,550811.88,487390.28
01052.HK,3.68,20,5660392.0805,4905352.775
01053.HK,1.01,20,7222817.0,3002638.0
01055.HK,3.68,20,80060163.0265,70161316.32
01057.HK,4.08,20,72186125.1,33323990.0
01058.HK,0.395,9,27525.555555555555,11260.0
01059.HK,0.38,17,268391.14735294116,17220.0
01060.HK,0.53,20,136566895.56100002,130904918.385
01061.HK,2.7,20,1900994.0,1736525.0
01062.HK,0.1,10,45666.0,6195.0
01063.HK,0.082,19,39723.780105263155,18950.0
01064.HK,0.06,13,12030.082153846153,3200.0
01065.HK,3.82,20,3802977.9,2226630.0
01066.HK,3.25,20,118344200.5365,75212663.095
01068.HK,0.079,20,123714.8504,55313.0
01069.HK,0.232,20,341053.93075,239092.9
01070.HK,13.51,20,117849949.62449999,113531575.65
01071.HK,4.17,20,59227508.7905,47539308.04
01072.HK,25.86,20,374533215.117,319071049.5
01073.HK,0.101,11,15376.872727272728,4200.0
01075.HK,2.08,15,198224.13333333333,152130.0
01079.HK,0.255,20,179252.3,141505.0
01080.HK,0.076,19,102512.05263157895,21922.5
01081.HK,63.6,10,201505797.07999998,71566893.0
01082.HK,1.4,13,291602.68,80640.0
01083.HK,3.1,20,6529946.828,5346830.765000001
01084.HK,0.66,15,31625.333333333332,17200.0
01085.HK,1.95,19,326869.4736842105,81820.0
01086.HK,0.84,20,1389514.5,1088700.0
01087.HK,0.77,19,264191.84210526315,213480.0
01088.HK,42.34,20,687253056.4885,634075904.9100001
01090.HK,0.7,13,158495.38461538462,82080.0
01091.HK,0.45,20,4023575.3600000003,3257400.5
01093.HK,6.89,20,797426135.9487001,687723770.945
01094.HK,0.275,16,61759.4875,50788.0
01097.HK,0.056,20,63870.727300000006,36182.706
01098.HK,0.56,18,81931.11111111111,41555.0
01099.HK,16.38,20,121565885.5845,121907172.36500001
01100.HK,1.5,20,41757.555,30750.0
01102.HK,0.067,20,104258.955,72254.4
01104.HK,1.44,20,18632251.993,13916225.0
01105.HK,0.178,12,56796.331249999996,14984.9875
01108.HK,2.93,20,44633810.5,6487480.0
01109.HK,32.08,20,1200442475.7965,1076916400.38
01110.HK,0.41,20,574258.48,576840.0
01111.HK,0.21,19,67080.71557894736,70548.0
01112.HK,10.96,20,23339719.905500002,21052003.875
01113.HK,44.66,20,302546761.6874,253780383.895
01114.HK,2.08,20,67138129.4095,41633916.97
01115.HK,0.415,20,8043227.141,4408200.0
01116.HK,0.226,17,78621.17647058824,53120.0
01117.HK,1.0,20,18556214.044999998,18034678.36
01118.HK,1.15,4,100575.0,68800.0
01119.HK,0.325,20,1598125.4,1272766.0
01120.HK,0.73,9,23451.11111111111,18540.0
01121.HK,0.64,20,440401.99000000005,361860.0
01122.HK,0.79,20,505709.0,411140.0
01123.HK,0.115,14,19835.714285714286,11323.0
01124.HK,0.139,13,64872.03415384616,59320.0
01125.HK,0.8,6,16542.86,18731.5
01126.HK,6.53,20,4825106.3755,3744791.75
01127.HK,1.25,20,306166.38,275400.0
01128.HK,5.2,20,80403519.907,53777275.370000005
01129.HK,0.163,17,216696.7105882353,97698.0
01130.HK,0.63,20,442142.25800000003,145938.4
01132.HK,0.067,15,28160.731666666667,10395.0
01133.HK,16.53,20,145423439.2575,139482597.12
01134.HK,0.385,17,1259178.2352941176,32200.0
01137.HK,1.09,20,1046011.108,915259.0
01138.HK,15.93,20,588910564.2245,472763409.78
01140.HK,0.129,20,1143442.0,734120.0
01141.HK,3.29,20,49965643.355000004,19817483.75
01142.HK,0.09,20,5328712.68125,6110371.2625
01143.HK,0.34,17,81355.97647058824,69837.6
01145.HK,0.146,14,19580.428571428572,8730.0
01146.HK,0.051,20,254838.785,105070.55
01147.HK,0.155,20,644290.0,546035.0
01148.HK,0.235,20,62332.9,30219.5
